"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
57867,57867,58250,57759,59398,49139,-0.00658,"West","Gilroy","CA","California","6085","Santa Clara County",3499,"california/gilroy",16.536,-121.585,37.0064,"City",160
57561,57561,58377,58831,60823,58828,-0.01398,"Southeast","Gardena","CA","California","6037","Los Angeles County",9875,"california/gardena",5.829,-118.308,33.8944,"City",161
57421,57421,57402,57383,58616,57156,0.00033,"Southeast","South Whittier","CA","California","6037","Los Angeles County",10757,"california/south-whittier",5.338,-118.031,33.9331,"CDP",162
56870,56870,57877,58580,60898,60260,-0.0174,"Southeast","Monterey Park","CA","California","6037","Los Angeles County",7413,"california/monterey-park",7.672,-118.133,34.0484,"City",163
56517,56517,55842,54882,53815,48875,0.01209,"Northwest","West Sacramento","CA","California","6113","Yolo County",2632,"california/west-sacramento",21.47,-121.549,38.5544,"City",164
56343,56343,57285,57661,60111,58677,-0.01644,"West","Cupertino","CA","California","6085","Santa Clara County",4969,"california/cupertino",11.34,-122.045,37.3194,"City",165
56060,56060,54538,52825,49970,43094,0.02791,"Northwest","Lincoln","CA","California","6061","Placer County",2319,"california/lincoln",24.17,-121.293,38.8745,"City",166
55933,55933,56202,56523,57009,53214,-0.00479,"Southeast","Highland","CA","California","6071","San Bernardino County",3012,"california/highland",18.571,-117.166,34.1135,"City",167
55854,55854,55440,55447,54197,44383,0.00747,"Southeast","San Jacinto","CA","California","6065","Riverside County",2159,"california/san-jacinto",25.873,-116.996,33.7989,"City",168
55698,55698,55580,55461,55386,54038,0.00212,"Southeast","Hacienda Heights","CA","California","6037","Los Angeles County",4994,"california/hacienda-heights",11.152,-117.973,33.9959,"CDP",169
54966,54966,55468,55836,56973,55385,-0.00905,"Southeast","Fountain Valley","CA","California","6059","Orange County",6060,"california/fountain-valley",9.071,-117.951,33.7106,"City",170
